label,message
ham,"Hey ainda estamos combinamos para esta noite?"
spam,"Parabéns! Ganhou um bilhete grátis. Envie WIN para 12345."
ham,"Não te esqueças de levar o caderno amanhã."
ham,"Almoço às 12h?"
spam,"O correio nao pode contacta-lo 3/3 vezes e o artigo será devolvido. Agende nova entrega em http://ctt-pots.cc/i"
spam,"URGENTE! A sua conta foi suspensa. Clique aqui para reativar."
ham,"Vemo-nos mais tarde na aula."
spam,"Entrada grátis num concurso semanal. Clique agora!"
spam,"Reivindique o seu prémio visitando o link abaixo."
ham,"Feliz Aniversário! Tudo de bom."
spam,"A sua encomenda ficou retida na alfândega clique aqui."
spam,"Ganhe dinheiro agora!!! Oferta por tempo limitado."
ham,"Vamos encontrar-nos às 18h ou mais tarde?"
spam,"Foste selecionado para um prémio em dinheiro! Clica aqui."
ham,"Não te esqueças de levar o teu cartão de cidadão para o evento."
spam,"Atua já para reclamar o teu VALE de oferta GRÁTIS."
ham,"Almoço no sítio do costume?"
spam,"Ganhaste um novo iPhone! Reclama já."
ham,"Vamos rever os slides antes da aula."
spam,"Urgente: A tua conta bancária foi comprometida."
ham,"Feliz aniversário! Espero que tenhas um ótimo dia."
spam,"Último aviso! Estás em dívida. Paga imediatamente."
ham,"Reunião remarcada para as 15h."
spam,"Parabéns! Ganhaste um cruzeiro gratuito."
ham,"Podes enviar-me o link do trabalho?"
spam,"Fica rico rapidamente com este truque simples."
ham,"Vou estar em casa por volta das 20h."
spam,"Isto não é uma fraude. Clica para saber mais."
ham,"Boa sorte na tua apresentação!"
spam,"A tua subscrição será cancelada se não agires."
ham,"Queres estudar comigo mais logo?"
spam,"Tens 1 mensagem não lida de um admirador secreto."
ham,"Devíamos planear uma viagem de carro em breve."
spam,"Oferta exclusiva: 90% de desconto só hoje."
ham,"A aula de amanhã foi cancelada."
spam,"Atualiza os teus dados para evitar interrupções no serviço."
ham,"Consegues ajudar-me a corrigir este código?"
spam,"Ganha 500 dólares por dia a trabalhar de casa."
ham,"A tua encomenda está pronta para levantamento."
spam,"Ganha agora uma maratona de compras de 1000 dólares."
ham,"Junta-te à chamada Zoom às 10h."
spam,"Oferta por tempo limitado – sem necessidade de cartão de crédito."
spam,"Invista 100€ em Bitcoin agora e receba 1000€ amanhã! Garantido."
ham,"Podes confirmar se recebeste o email que te enviei com o anexo?"
spam,"⚠️ Notificação de segurança: Tentativa de login suspeita em Lisboa. Clique para bloquear."
ham,"Alguém quer café? Vou à copa agora."
spam,"Ganhaste um vale de 50€ para o Continente! Responde 'SIM' para validar."
ham,"O relatório de vendas está disponível na pasta partilhada."
spam,"Parabéns, o seu número foi sorteado para um prémio de 5000€. Contacte-nos."
ham,"Estou um bocado atrasado para o jantar, comecem sem mim."
spam,"Sua conta Netflix será suspensa devido a falha no pagamento. Atualize aqui."
ham,"Viste o jogo ontem? Que reviravolta incrível no último minuto!"
spam,"Empréstimos rápidos e sem burocracia. Dinheiro na conta em 24h."
ham,"Combinamos o café para as 16h ou preferes mais cedo?"
spam,"URGENTE: O seu pacote está retido. Pague a taxa alfandegária de 2.99€."
ham,"Não te esqueças que a apresentação de amanhã é às 9h."
spam,"Ganhe seguidores reais no Instagram em segundos! Teste grátis."
ham,"Consegues enviar-me o contacto daquela pessoa que falamos?"
spam,"Última oportunidade: Cupão de 80% de desconto expira em 1 hora!"
ham,"A reunião foi produtiva, depois mando o resumo por Slack."
